x Norm_heat_flux
0.0180187915 266740.591516342
0.0180262625 264811.853833879
0.0180387404 261418.969013348
0.0180562008 257196.825139887
0.0180786084 252301.600892517
0.0181059223 246532.977455679
0.0181380939 239980.580042713
0.0181750711 232654.521801462
0.0182168037 224655.141297791
0.0182632357 216087.390041942
0.0183143206 206950.840463351
0.0183700118 197386.509548773
0.0184302628 187444.57360695
0.0184950363 177035.241816224
0.0185642689 166946.101158741
0.01863857075 156093.909143919
0.0187128726 145241.717129097
0.0187919755 135540.855707603
0.0188749339 125813.334358264
0.0189615451 116120.39001797
0.0190516002 106513.125398345
0.0191448946 97130.9687503643
0.0192412194 88133.7632134285
0.0193403661 79609.1143823711
0.0194421224 71603.9843594381
0.0195462685 64137.4560403495
0.0196525902 57184.2818852765
0.0197608657 50758.6699836916
0.0198708791 44861.6346614391
0.0199824255 39544.5501274142
0.0200953241 34512.2249779398
0.0202220436 30767.9938342236
0.0203487631 27023.7626905074
0.0205137152 25277.9676972283
0.0207085144 24155.1082848803
0.0209385343 23046.5178857915
0.0212101042 21949.3665047601
0.0215306729 20870.5223703169
0.0219090097 19823.8361590777
0.0223554168 18774.6799750792
0.0228819996 17666.3688016483
0.0235029534 16510.2693913953
0.0242349096 15356.448450467
0.0250973199 14206.5454008246
0.0261128936 13054.0961985976
0.0273080822 11948.0740332023
0.0287136119 10954.5404634364
0.0305085471 10113.0691722388
0.0323034823 9271.59788104112
0.03457601 8507.97630917652
0.0372364931 7796.81207477907
0.0403460413 7150.71797746687
0.0439734645 6578.19795409128
0.0481955446 6057.55923227484
0.0530969501 5572.2320877351
0.0587697774 5113.90012249271
0.0653124675 4679.41524289956
0.0728279725 4264.78838624112
0.0814209655 3865.9948288121
0.0911939517 3485.43895244172
0.102242149 3128.17106804516
0.11464712 2799.54702886252
0.128469378 2504.93000501043
0.144461401 2263.04797853207
0.160453424 2021.16595205371
0.178558066 1829.21480279211
0.197952598 1667.98221965576
0.218482539 1533.39661680435
0.239941671 1421.3589374908
0.262078047 1328.15907366311
0.28460446 1250.95157334331
0.307212591 1188.01963032038
0.329589576 1137.88179289274
0.351435304 1099.12527157039
0.372477829 1070.58650232386
0.392486155 1051.00577796851
0.411278367 1039.43042913787
0.428725481 1033.39913485259
0.444750726 1034.86209864396
0.4588992895 1036.85323753996
0.473047853 1038.84437643596
0.486770242 1045.58308922674
0.500492632 1053.07143558835
0.514214993 1061.58195662488
0.527937412 1070.92615996191
0.541659772 1080.874301699
0.555382192 1091.20737738409
0.569104552 1101.71980185716
0.582826912 1112.22229986814
0.596549332 1122.54521824317
0.610271692 1132.53914817046
0.623994112 1142.07461405738
0.637716472 1151.04081892195
0.651438892 1159.34452026374
0.665161252 1166.91846103264
0.678883642 1173.30755459424
0.692606032 1179.69664815584
0.706328392 1184.85927162001
0.720050812 1189.21480044606
0.733773172 1192.78330836931
0.747495592 1195.59516695124
0.761217952 1197.68609740382
0.774940372 1199.09524351087
0.788662732 1199.86379657721
0.802385092 1200.03402185251
0.816107512 1199.64879683535
0.829829872 1198.75077821322
0.843552291 1197.38230149388
0.857274652 1195.58414647057
0.870997071 1193.394403056
0.884719431 1190.8542023338
0.898441821 1187.85754494475
0.912164211 1184.8608875557
0.925886571 1181.46851662279
0.939608991 1177.85605725612
0.953331351 1174.04984619639
0.967053771 1170.07544734549
0.980776131 1165.95631686312
0.994498551 1161.71442545257
1.00822091 1157.36984684911
1.02194333 1152.94166113816
1.03566563 1148.4462183771
1.04938805 1143.9038833704
1.06311047 1139.31546910432
1.07683289 1134.72144422924
1.09055519 1129.99858612103
